Timestamp,Value
2023-04-13 14:27:52,test,34.167
2023-04-13 14:27:52,test,0
2023-04-13 14:28:12,test,28.4042
2023-04-13 14:28:12,test,0
2023-04-13 14:28:32,test,33.93939
2023-04-13 14:28:32,test,0
2023-04-13 14:28:52,test,27.92293
2023-04-13 14:28:52,test,0
2023-04-13 14:29:13,test,26.26436
2023-04-13 14:29:13,test,0
2023-04-13 14:29:33,test,29.19983
2023-04-13 14:29:33,test,0
2023-04-13 14:29:53,test,42.14188
2023-04-13 14:29:53,test,0
2023-04-13 14:30:13,test,29.06243
2023-04-13 14:30:13,test,0
2023-04-13 14:30:33,test,24.79171
2023-04-13 14:30:33,test,0
2023-04-13 14:30:53,test,26.66992
2023-04-13 14:30:53,test,0
